id	name	fn	imp	personas	contexts
1	Glanceable conditions glyph + temp	weather	H	PS:1,P2:1,G:1,ER:.6,GU:.6,T:.2	morning,afterschool,weekend,guest,grammy
2	One-line advice (umbrella / coat / park day)	weather	H	PS:1,P2:.8,G:.8,AI:1,ER:.4	morning,weekend
3	Per-person dress hint	weather	M	PS:1,ER:.8,AI:1,T:.4	morning
4	Next-hour precipitation alert	weather	M	PS:.8,P2:.8,AI:.8,G:.4	morning,afterschool,weekend
5	Severe-weather alert card	weather	M	PS:.8,P2:.8,G:.8,AI:1	morning,dinner,evening
6	Weather-as-scene art (idle)	weather	M	T:.8,ER:.8,GU:.6,PS:.4,P2:.4,G:.6	morning,evening,weekend,guest,grammy
7	Tappable weather scene with animal sounds	weather	L	T:1,ER:.4,AI:.6	toddler_alone,afterschool
8	Shared real-time list sync (phone page)	grocery	H	PS:1,P2:1,G:.8	dinner_prep,weekend
9	Voice-add with on-wall echo	grocery	H	PS:1,P2:1,G:1,AI:1,ER:.3	dinner_prep,morning,afterschool
10	Explicit in-cart / bought state	grocery	H	PS:1,P2:1,G:.8	dinner_prep,weekend
11	Recently-bought re-add tray	grocery	M	PS:1,P2:.8,G:.6,AI:.6	dinner_prep,weekend
12	Delete item	grocery	H	PS:1,P2:1,G:.8	dinner_prep
13	Store / aisle sorting per store	grocery	M	PS:1,P2:.8,G:.4	weekend,dinner_prep
14	Autocomplete from household history	grocery	M	PS:.8,P2:.8,G:.4,AI:.8	dinner_prep
15	Frequency-based staples ("you're due for eggs")	grocery	H	PS:1,P2:.8,G:.6,AI:1	morning,dinner_prep,weekend
16	Icon / picture tiles for pre-readers	grocery	M	T:.8,ER:.8,G:1,PS:.4	afterschool,grammy,toddler_alone
17	Grammy's list, voice-routed	grocery	H	G:1,AI:.8,PS:.6,P2:.6	grammy,dinner_prep
18	Quantity / units	grocery	L	PS:.6,P2:.6,G:.4	dinner_prep
19	Barcode / photo add of an empty carton	grocery	L	PS:.6,P2:.8,G:.4,AI:.6	dinner_prep
20	List generated from meal plan	grocery	H	PS:1,AI:1,P2:.6	weekend,dinner_prep
21	Export / handoff to AnyList or Instacart	grocery	L	PS:.6,P2:.6	weekend
103	Text or MMS a list / photo to Greg's number → canon list	grocery	H	PS:1,P2:1,G:.6,AI:1	morning,afterschool,dinner_prep,weekend
105	Camera list ingest at the wall (hold up paper / phone)	grocery	H	PS:1,P2:.8,G:.8,AI:1	dinner_prep,weekend,grammy
22	Color per person	calendar	H	PS:1,P2:1,ER:.8,G:.8,GU:.3	morning,afterschool,weekend
23	Today's agenda glance	calendar	H	PS:1,P2:1,G:.8,ER:.8,GU:.4,AI:.6	morning,afterschool,grammy
24	Week view	calendar	H	PS:1,P2:.8,G:.4	morning,weekend,evening
25	Month grid on tap	calendar	M	PS:.8,P2:.6,G:.4	weekend
26	Per-person filter	calendar	M	PS:.8,P2:.6,ER:.4	morning
27	Two-way Google write-back	calendar	H	PS:1,P2:1,AI:1	morning,evening,weekend
28	Photo / flyer / email → events (import)	calendar	H	PS:1,AI:1,P2:.6	evening,weekend,afterschool
29	TeamSnap / sports sync	calendar	L	PS:.6,ER:.6	afterschool,weekend
30	School calendar batch import	calendar	H	PS:1,AI:1,ER:.4	weekend,evening
31	Voice-add event with confirm	calendar	H	PS:1,P2:1,G:.8,AI:1	morning,dinner_prep,evening
32	Conflict detection	calendar	M	PS:.8,AI:1,P2:.6	evening,weekend
33	Event countdown ("3 sleeps")	calendar	M	ER:1,T:.8,PS:.6,G:.6,AI:.6	morning,evening,weekend
34	Per-event memo	calendar	L	PS:.6,P2:.6	evening
35	One event → multiple people	calendar	M	PS:.8,AI:.8	evening
36	"Tonight" dinner card	meals	H	PS:1,P2:1,ER:.8,G:.8,T:.3,AI:1	dinner_prep,afterschool,dinner
37	AI weekly plan from constraints	meals	M	PS:.8,AI:1,P2:.6	weekend
38	Recipe capture (photo / URL / handwriting)	meals	M	PS:.8,G:.8,AI:1,P2:.6	weekend,dinner_prep
39	Cook-mode step display	meals	H	PS:1,P2:1,G:.8	dinner_prep
40	Cook timers auto-parsed from recipe	meals	M	PS:.8,P2:.8,G:.6,AI:.6	dinner_prep
41	"Use what we have" ingredient search	meals	H	PS:.8,P2:.8,G:.6,AI:1	dinner_prep
42	Kid-facing meal icon ("Taco Tuesday")	meals	L	ER:1,T:.8,PS:.4	afterschool,dinner
106	Ingredients + a vague idea → dish suggestions	meals	H	PS:1,P2:1,G:.8,AI:1	dinner_prep,weekend
43	Picture-step routine	routines	H	ER:1,T:.8,PS:.6,AI:.4	morning,afterschool,evening
